what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1234663008343
activated,editor,org.eclipse.wst.xml.ui,1.0.410.v200809120143,org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart,1234663037875
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1234663046828
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1234663057000
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1234663057109
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1234663060312
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234663066656
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234663074921
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1234663077625
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1234663083328
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234663124687
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234663135312
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1234663140781
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1234663149875
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234663164359
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.selectAll,1234663167203
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234663177640
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1234663180843
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1234663183171
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234663193437
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234663203546
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1234663209015
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1234663213296
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234663232656
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234663244625
