what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234869061007
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234869065676
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234869068833
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.selectAll,1234869070092
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1234869070848
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1234869074544
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1234869095801
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1234869098136
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1234869155295
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1234869205407
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234869298009
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234869310884
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1234869311660
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234869315132
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234869323297
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.selectAll,1234869326903
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1234869327873
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234869331014
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234869335365
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.selectAll,1234869336659
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1234869338292
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1234869339982
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234869350516
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234869355279
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234869369418
